file,f0Mean,f0Range2sd,f0Entropy,f0MeanAbsVelocity,f0MeanAbsAccel,PauseCount,PauseRate,PauseDutyCycle,MeanPauseDuration,ComplexityAllPauses,ComplexitySyllables,ComplexityPhrases,IntensitySegmentMeanSD,IntensityMeanAbsVelocity,IntensityMeanAbsAccel,Dynamism
1984_Wobj.mat,311.8472708,1.208318971,3.680063525,1.093616326,1.328901637,218,1.119815076,0.387594709,0.346123853,8.42021694,12.53577965,3.838052373,4.369398001,259.4104829,329.9247875,3.21632854
A Bell Still Unrung by Safiya Sinclair_Wobj.mat,214.4129876,1.578127181,3.34703109,0.647106982,0.896618743,161,1.209571391,0.404943466,0.334782609,8.945434892,12.02711455,3.037030364,10.46436489,-183.1714688,156.5685729,2.555701472
A Woman Waits on Pins and Needles_Wobj.mat,212.8761679,1.291061284,3.96776141,1.791818366,2.134044231,435,1.080852756,0.388075834,0.359045977,8.138873484,13.47745535,3.138122861,5.125552385,-183.9156943,178.2736614,3.861981285
After I Came to Bed Unable to Understand Why Mike Brady is Beating Kunta Kinte.._Wobj.mat,157.954044,0.958347775,3.53928783,1.102763127,1.085308602,51,0.536305799,0.343971818,0.641372549,4.334822914,9.648156774,2.391626435,3.742378087,188.6006431,172.2414357,2.833717245
Ain_t I a Woman_Wobj.mat,265.1863106,0.666658674,2.946375966,1.199091156,1.297290573,164,1.160774321,0.301624376,0.259847561,8.476863974,13.09451853,3.924474062,5.920039531,307.0291067,358.4598655,3.128133467
All Is Not Lost When Dreams Are_Wobj.mat,168.9610718,1.874999401,3.747313451,1.070900441,1.02321622,205,0.789235596,0.342008508,0.433341463,5.970428399,12.87915464,3.075675236,4.776274927,223.6543358,261.6529757,3.102637281
All They Want is My Money My Pussy My Blood_Wobj.mat,197.269346,1.166683925,3.86992523,1.697960026,1.990988079,135,0.883189951,0.443950149,0.502666667,6.676990364,14.70751744,2.729280733,4.909723627,215.155489,172.5571353,3.72567828
Allison Joseph - Barbie_s Little Sister _Wobj.mat,175.7158537,0.958352738,3.38781765,1.094424093,1.407074101,189,1.37434555,0.380199244,0.276640212,9.704710188,15.99083772,3.270648185,3.864659364,147.4934289,119.8680619,3.166483535
American Smooth_Wobj.mat,200.6324731,1.455932247,3.882351917,1.158589933,1.252893633,64,0.787886249,0.2742829,0.348125,6.198853773,13.53758797,2.238474974,5.139644599,204.6469043,208.7952233,3.109965356
Angel_s Heart Clown_s the Ocean_Wobj.mat,311.8472708,1.208318971,3.680063525,1.093616326,1.328901637,218,1.119815076,0.387594709,0.346123853,8.42021694,12.53577965,3.838052373,4.369398001,259.4104829,329.9247875,3.21632854
Angry Black Woman_Wobj.mat,305.0698181,1.083318144,3.646698766,1.431184691,1.3915607,292,1.548784045,0.335720158,0.216763699,10.64358204,14.84846026,3.467227482,5.23438423,221.843625,249.6317841,3.54177697
Answers by tai-freedom-ford_Wobj.mat,181.8272699,1.833329519,2.638431091,0.853487237,0.861212364,190,0.779791098,0.29863947,0.382973684,6.135466856,11.93207526,3.131644541,3.394882334,162.4425578,192.8179564,2.544004751
April 5 1968_Wobj.mat,220.5520752,1.020983686,3.784909312,1.750187058,2.197187667,137,0.957305569,0.263119279,0.274854015,7.034429196,14.22410438,1.39654109,4.471594086,192.1128221,175.2002504,3.509215141
Arrival Day_Wobj.mat,243.068591,1.208386356,4.011655362,0.925137067,1.144295114,216,0.844640832,0.284694795,0.337060185,6.575376523,13.16844913,3.364146128,6.425602088,-259.1101704,308.4947149,3.107199948
Ashlee Haze - For Colored Girls The Missy Elliott Poem_Wobj.mat,303.9824301,0.875005363,3.505365637,1.711304002,2.000129388,241,1.420362458,0.278945042,0.196390041,10.06739174,17.21959692,1.463541531,5.040224306,246.4473498,240.1516414,3.514345059
Ashlee Haze - Shake What The Motherland Gave You_Wobj.mat,246.9499915,0.833301607,3.341376289,1.584766616,1.915556003,63,0.895077076,0.252397528,0.281984127,6.558725456,14.89901474,1.859937069,3.670855802,188.3687072,171.9690022,3.326822161
Aunt Jemima_Wobj.mat,236.5553762,2.270987602,4.003629056,0.99801619,1.016051071,161,0.978544946,0.313134383,0.32,7.296250348,12.34135873,2.964101704,7.577177458,281.8946639,334.7206434,3.073999317
Berry the sweeter_Wobj.mat,174.6269546,1.395994748,2.963477796,0.898341736,0.958089764,53,0.548853104,0.358773883,0.653679245,4.349198521,14.63473021,2.801178709,5.36444752,-198.897523,197.6113519,2.730471701
Black Girl Magic_Wobj.mat,232.5673518,1.083345175,3.71929659,2.092845637,2.282638476,166,1.206658428,0.341571564,0.283072289,8.736735255,14.3115508,2.30478292,6.807496689,218.4318503,197.0520327,3.956832884
