,Author last name,Author first name,birth_year,cave_canem_indicator,region,City of birth,State,Country,Childhood note,Community college or university,Graduate,Iowa,public_private_indicator,Ivy,HBCU,Poem Title,f0Mean,f0Range2sd,f0Entropy,f0MeanAbsVelocity,f0MeanAbsAccel,PauseCount,PauseRate,PauseDutyCycle,MeanPauseDuration,ComplexityAllPauses,ComplexitySyllables,ComplexityPhrases,IntensitySegmentMeanSD,IntensityMeanAbsVelocity,IntensityMeanAbsAccel,Dynamism,undergrad_study_indicator,graduate_study_indicator,poet_full_name
0,Walker,Margaret,1915.0,0,South,Birmingham ,Alabama,USA,family moved to New Orleans when Walker was young girl ,Northwestern University,University of Iowa (MFA),1,1,0,0,For My People_Wobj.mat,236.32225609999998,1.250021239,3.7677734839999997,1.516819035,1.375375815,370,1.375490251,0.411029945,0.298824324,10.01924584,12.81330082,3.9726455819999997,3.450690334,206.9298992,289.959931,3.6629739910000003,1,1,Walker Margaret
1,Walker,Margaret,1915.0,0,South,Birmingham ,Alabama,USA,family moved to New Orleans when Walker was young girl ,Northwestern University,University of Iowa (MFA),1,1,0,0,Kissie Lee_Wobj.mat,223.05772489999998,2.6666808580000003,3.894766686,1.829288,1.603971253,128,0.896860987,0.342033352,0.38136718799999997,6.999924013999999,13.61691779,3.474036362,10.047557000000001,204.9636699,216.40028790000002,3.93522726,1,1,Walker Margaret
2,Brooks,Gwendolyn,1917.0,0,Midwest,Topeka,Kansas ,USA,"family moved to Chicago, IL when Brooks was six weeks old",,,0,0,0,0,Song in the Front Yard_Wobj.mat,171.39190200000002,1.729306297,4.083780863,2.211551845,1.7790279480000002,48,0.7797904309999999,0.31825197,0.408125,6.069913607999999,14.31926392,3.310861968,3.149158593,128.6573738,110.75867179999999,4.341653048,0,0,Brooks Gwendolyn
3,Brooks,Gwendolyn,1917.0,0,Midwest,Topeka,Kansas ,USA,"family moved to Chicago, IL when Brooks was six weeks old",,,0,0,0,0,We Real Cool_Wobj.mat,115.5303314,2.583318495,4.2579251330000005,1.719341332,1.704975903,43,0.604654433,0.314139071,0.519534884,4.7525727,9.892270788,3.491686065,9.623116368,483.96170060000003,722.4247102999999,3.8052697510000004,0,0,Brooks Gwendolyn
4,Evans,Mari,1919.0,0,Midwest,Toledo,Ohio,USA,,,,0,0,0,0,I Am A Black Woman Mari Evans_Wobj.mat,192.2349937,2.4166596190000003,3.9746761760000004,1.059402661,1.112257066,85,0.8009800229999999,0.407510366,0.508764706,6.162480099,12.40434339,3.5891367610000002,6.856047788,232.52512850000002,282.06231339999994,3.2272892110000004,0,0,Evans Mari
5,Evans,Mari,1919.0,0,Midwest,Toledo,Ohio,USA,,,,0,0,0,0,Speak The Truth To The People by Mari Evans_Wobj.mat,188.54147419999998,2.333328314,3.732796824,1.0229878959999998,1.2880583190000001,134,0.797097139,0.336476117,0.422126866,6.127029219,13.38307494,3.1753217119999997,6.244559045,229.80026030000002,281.604453,3.089993232,0,0,Evans Mari
6,Angelou,Maya,1928.0,0,Other,St. Louis,Missouri ,USA,"Moved to Stamps, Arkansas at age 3, returned to St. Louis at age 8. Went back to Arkansas, then to Oakland, CA",,,0,0,0,0,Still I Rise_Wobj.mat,119.70497820000001,1.729335235,4.146149138,1.4283539969999999,1.8394269540000001,119,0.6901751540000001,0.371331632,0.53802521,5.463854337999999,11.49927422,3.322023437,4.149837263999999,178.85609159999998,185.9258993,3.538121654,0,0,Angelou Maya
7,Angelou,Maya,1928.0,0,Other,St. Louis,Missouri ,USA,"Moved to Stamps, Arkansas at age 3, returned to St. Louis at age 8. Went back to Arkansas, then to Oakland, CA",,,0,0,0,0,Phenomenal Woman_Wobj.mat,126.1555092,1.87501023,4.1911708889999995,1.2017019009999999,1.527613694,60,0.461361015,0.089773164,0.194583333,3.890706097,16.01322057,1.240514987,6.280815662,288.1725151,436.5691241,3.170953022,0,0,Angelou Maya
8,Fabio,Sarah Webster,1928.0,0,Other,,,USA,,,,0,0,0,0,Sweet Song_Wobj.mat,129.4634369,2.499994666,4.169721039,0.7373642990000001,0.854822834,149,0.600854908,0.110593596,0.184060403,4.717411911,13.45697252,4.277120133,4.3652045589999995,-245.59852259999997,355.003109,3.1446537689999996,0,0,Fabio Sarah Webster
9,Cortez,Jayne,1934.0,0,West,Fort Huachuca,Arizona,USA,,Compton Community College,,0,0,0,0,Blues Bop For Diz_Wobj.mat,115.87746000000001,1.9793242009999998,4.212918412,0.8609882259999999,1.142539714,0,0.0,0.0,0.35956227290303033,0.18609514300000002,18.00857704,1.5352849290000001,3.059789038,-352.9411403,574.1015107999999,2.989896992,1,0,Cortez Jayne
